"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000117519",4483.62709360346,-2.42271923981601,0.0600016218982957,-40.3775625252694,0,0,"CNN3","1266","calponin 3"
"ENSG00000183508",2053.88135557663,3.20195534795427,0.0724172014757464,44.2153974843485,0,0,"TENT5C","54855","terminal nucleotidyltransferase 5C"
"ENSG00000159176",5692.46278267679,-2.31373756503587,0.0575533663106327,-40.2016026751231,0,0,"CSRP1","1465","cysteine and glycine rich protein 1"
"ENSG00000116016",4423.94665216876,-1.8880193725334,0.0431679917759064,-43.7365579185264,0,0,"EPAS1","2034","endothelial PAS domain protein 1"
"ENSG00000164251",2348.7701339719,3.3445083321361,0.0690717572655261,48.4207795565287,0,0,"F2RL1","2150","F2R like trypsin receptor 1"
"ENSG00000124766",2576.65254960143,2.39228794576996,0.0617086151813016,38.7674871448881,0,0,"SOX4","6659","SRY-box transcription factor 4"
"ENSG00000124762",28106.1191885778,1.83225777686375,0.0388966414279944,47.1058093860269,0,0,"CDKN1A","1026","cyclin dependent kinase inhibitor 1A"
"ENSG00000106366",43719.1260988373,-1.84404649934342,0.0419164996609006,-43.9933323216759,0,0,"SERPINE1","5054","serpin family E member 1"
"ENSG00000188153",2944.12640623352,2.26608046261254,0.055268128792191,41.001577439559,0,0,"COL4A5","1287","collagen type IV alpha 5 chain"
"ENSG00000122861",28007.1433373973,2.26252546550258,0.055218331159518,40.9741732137189,0,0,"PLAU","5328","plasminogen activator, urokinase"
"ENSG00000148773",1840.19727265675,-3.19605832567065,0.0757850351652669,-42.1726838115322,0,0,"MKI67","4288","marker of proliferation Ki-67"
"ENSG00000139289",12942.9106281238,2.03736205042695,0.0462973434178514,44.0060249686244,0,0,"PHLDA1","22822","pleckstrin homology like domain family A member 1"
"ENSG00000125257",6050.78726438958,1.95054949491349,0.0435953844406102,44.7421102013842,0,0,"ABCC4","10257","ATP binding cassette subfamily C member 4 (PEL blood group)"
"ENSG00000211448",1884.75741158654,2.52372169452888,0.0653981298931846,38.590120216754,0,0,"DIO2","1734","iodothyronine deiodinase 2"
"ENSG00000128917",1307.34250385583,3.8582531145741,0.0865185432075117,44.5945224172374,0,0,"DLL4","54567","delta like canonical Notch ligand 4"
"ENSG00000138623",2851.61916336974,-2.40668774845908,0.0581377318678254,-41.3963130507159,0,0,"SEMA7A","8482","semaphorin 7A (JohnMiltonHagen blood group)"
"ENSG00000131747",1743.84285765667,-2.92418912756521,0.0696221034544487,-42.000873034214,0,0,"TOP2A","7153","DNA topoisomerase II alpha"
"ENSG00000167601",8245.06804500101,-2.14234576630771,0.040443548563832,-52.9712609892886,0,0,"AXL","558","AXL receptor tyrosine kinase"
"ENSG00000123416",4420.07398793879,-1.93841810360098,0.0505768630461303,-38.3261828997379,2.24305803211926e-321,1.73423958609319e-318,"TUBA1B","10376","tubulin alpha 1b"
"ENSG00000059804",3443.39680712992,2.07976295761976,0.0543254349135839,38.2834110933132,1.1571017425602e-320,8.49891229910466e-318,"SLC2A3","6515","solute carrier family 2 member 3"
"ENSG00000150938",7442.98631416393,-2.05963137024162,0.0538449075112187,-38.2511822462039,3.97525218643867e-320,2.78078376501785e-317,"CRIM1","51232","cysteine rich transmembrane BMP regulator 1"
"ENSG00000198743",1999.10327890814,2.53453041313559,0.0670975518001016,37.7738135764851,3.05856511872954e-312,2.04228734518804e-309,"SLC5A3","6526","solute carrier family 5 member 3"
"ENSG00000136068",3796.1265394147,-1.64979200672636,0.043935437053321,-37.5503720316732,1.38930857273433e-308,8.87345344933361e-306,"FLNB","2317","filamin B"
"ENSG00000074800",18390.4756149844,-1.33893117834408,0.0358590275896066,-37.3387475440677,3.86082291176043e-305,2.36314535724003e-302,"ENO1","2023","enolase 1"
"ENSG00000181104",14922.5173336984,1.66815955567935,0.0447581299294354,37.2705374042511,4.92673245812508e-304,2.89494799239429e-301,"F2R","2149","coagulation factor II thrombin receptor"
"ENSG00000115963",13232.3301349766,1.80533073536896,0.0488625142075097,36.9471519149029,8.09231108058251e-299,4.57215576052912e-296,"RND3","390","Rho family GTPase 3"
"ENSG00000104368",13214.4968037918,2.02763709005455,0.0550460855246607,36.8352639561658,5.03520683629354e-297,2.73952549722785e-294,"PLAT","5327","plasminogen activator, tissue type"
"ENSG00000157680",1359.0634938634,2.54493702368437,0.0693613893225735,36.6909753183984,1.01726618392663e-294,5.33701437210079e-292,"DGKI","9162","diacylglycerol kinase iota"
"ENSG00000074416",2392.80973934457,-2.14808670764645,0.0589063480898056,-36.4661327225988,3.81873143391224e-291,1.93438499186796e-288,"MGLL","11343","monoglyceride lipase"
"ENSG00000104081",804.838487338129,4.43413656938239,0.121636384406067,36.4540313413099,5.9385621797416e-291,2.90791594734681e-288,"BMF","90427","Bcl2 modifying factor"
"ENSG00000166073",2268.80918089117,-2.2066708419761,0.0608219606307533,-36.2808238848576,3.24649822032124e-288,1.5384212534361e-285,"GPR176","11245","G protein-coupled receptor 176"
"ENSG00000165434",1243.14971044106,2.51723600339355,0.069401356994198,36.270702943229,4.68797353266864e-288,2.1520728498407e-285,"PGM2L1","283209","phosphoglucomutase 2 like 1"
"ENSG00000091527",2814.15907315816,-1.81023338577256,0.0499749029758712,-36.2228494299744,2.65984835185827e-287,1.18403552390297e-284,"CDV3","55573","CDV3 homolog"
"ENSG00000033867",3157.52042924196,1.93501315031032,0.0535351847027602,36.1446992488017,4.50689778676735e-286,1.94724495551801e-283,"SLC4A7","9497","solute carrier family 4 member 7"
"ENSG00000117724",1324.17284690485,-2.82511200625218,0.0781715114729395,-36.1399178936196,5.35778353379665e-286,2.20509798799649e-283,"CENPF","1063","centromere protein F"
"ENSG00000101825",1024.97040543336,3.28766304153759,0.0909710037522499,36.1396808426034,5.40391610400773e-286,2.20509798799649e-283,"MXRA5","25878","matrix remodeling associated 5"
"ENSG00000198959",5110.85796803933,-1.74624587694995,0.0487932042517446,-35.7887108200628,1.65485249277908e-280,6.57021165376342e-278,"TGM2","7052","transglutaminase 2"
"ENSG00000164938",1395.92210584831,2.31778202055932,0.0656155292094742,35.3236809713128,2.54305707446727e-273,9.83092326945374e-271,"TP53INP1","94241","tumor protein p53 inducible nuclear protein 1"
"ENSG00000073712",2356.74691021858,-2.3051528590294,0.065396000427478,-35.2491412924517,3.53646850208652e-272,1.33206980245259e-269,"FERMT2","10979","FERM domain containing kindlin 2"
"ENSG00000143799",1043.84682510942,-2.61747584698133,0.0743747823896457,-35.1930555341797,2.5536798156345e-271,9.37838912291772e-269,"PARP1","142","poly(ADP-ribose) polymerase 1"
"ENSG00000196549",1520.30148791169,2.8374350677056,0.0806594353569988,35.1779683944861,4.3440722585592e-271,1.55644930434719e-268,"MME","4311","membrane metalloendopeptidase"
"ENSG00000110002",899.504360793506,4.43907473642135,0.126316442695776,35.1424932628331,1.51368681108393e-270,5.29429982257688e-268,"VWA5A","4013","von Willebrand factor A domain containing 5A"
"ENSG00000088325",1049.74978195443,-3.01204014087112,0.0861136723498899,-34.977490318063,4.948471098362e-268,1.69053582406832e-265,"TPX2","22974","TPX2 microtubule nucleation factor"
"ENSG00000133318",1500.97300012898,-2.41401849883444,0.0690680721887584,-34.9512940253652,1.23760619414889e-267,4.13191704364709e-265,"RTN3","10313","reticulon 3"
"ENSG00000154864",1374.01910088605,2.35786042990079,0.0676832762470127,34.8366769554075,6.77554401254457e-266,2.21183870098399e-263,"PIEZO2","63895","piezo type mechanosensitive ion channel component 2"
"ENSG00000197321",4211.22514661471,1.73283927593519,0.0497514630841927,34.829915916297,8.57647267256207e-266,2.73887790347689e-263,"SVIL","6840","supervillin"
"ENSG00000182752",6930.41939676306,2.01487019569894,0.058836543318285,34.2452170379759,5.13836406693778e-257,1.60601208815566e-254,"PAPPA","5069","pappalysin 1"
"ENSG00000198901",744.768135087352,-3.17652098959839,0.0928701287754309,-34.2039042206944,2.11545038692252e-256,6.47415962164414e-254,"PRC1","9055","protein regulator of cytokinesis 1"
